Country/Region;Population;Area;Maximum;Per 100,000 inh.;% Confirmed;% aCFR;Comments;2020-01-22;2020-01-23;2020-01-24;2020-01-25;2020-01-26;2020-01-27;2020-01-28;2020-01-29;2020-01-30;2020-01-31;2020-02-01;2020-02-02;2020-02-03;2020-02-04;2020-02-05;2020-02-06;2020-02-07;2020-02-08;2020-02-09;2020-02-10;2020-02-11;2020-02-12;2020-02-13;2020-02-14;2020-02-15;2020-02-16;2020-02-17;2020-02-18;2020-02-19;2020-02-20;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29
US Delaware;973764;5047;507;52.0660036723;0.0445675105;0.0467410344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;5;9;10;11;12;13;16;17;17;19;24;28;32;34;36;43;48;53;60;67;70;76;86;90;99;104;117;131;147;155;168;181;192;204;210;222;235;246;255;266;269;285;297;301;312;324;334;351;362;373;383;392;399;408;414;417;420;425;431;436;444;453;459;463;466;468;471;471;475;483;485;485;488;490;492;493;494;494;495;496;498;499;502;502;504;504;504;504;504;505;507;507;507;507;507
US District of Columbia;705749;158;551;78.0730826399;0.0535367276;0.0545868833;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;1;2;2;2;3;3;4;5;9;9;11;12;15;21;22;24;22;27;32;38;47;50;53;67;72;81;86;91;96;105;112;127;139;153;165;178;185;190;205;224;231;240;251;258;264;277;285;304;311;323;328;336;350;358;368;375;383;392;400;407;412;418;427;427;440;440;445;453;460;462;466;468;470;473;475;475;483;489;491;495;499;502;506;511;515;515;520;523;527;530;531;533;535;537;541;543;546;548;550;551
US Florida;21477737;138887;3546;16.5101192924;0.0242310767;0.0342598765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;4;4;6;7;8;10;12;13;14;18;22;28;34;54;56;63;77;87;128;163;191;218;236;296;309;354;390;438;465;483;537;609;646;699;754;781;806;856;910;979;1031;1075;1094;1101;1154;1240;1290;1314;1388;1403;1423;1536;1605;1667;1738;1785;1791;1805;1849;1898;1948;1991;2040;2049;2073;2129;2173;2222;2268;2312;2316;2331;2338;2400;2446;2495;2530;2534;2543;2613;2650;2691;2745;2773;2786;2798;2851;2889;2938;2967;3016;3022;3030;3085;3110;3154;3197;3237;3254;3266;3333;3377;3423;3464;3489;3518;3546
US Georgia;10617423;148959;2784;26.2210519445;0.0350554667;0.0411359674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;10;13;14;23;25;32;40;48;64;69;80;87;111;139;163;184;201;211;229;329;362;379;416;428;433;464;501;552;587;650;673;687;733;799;836;872;892;904;912;971;1026;1093;1120;1154;1174;1177;1222;1288;1311;1336;1377;1400;1405;1441;1461;1505;1527;1557;1592;1606;1642;1664;1687;1754;1785;1811;1824;1830;1871;1907;1962;1974;2003;2042;2074;2102;2123;2147;2174;2174;2180;2208;2285;2329;2375;2418;2446;2451;2494;2529;2575;2605;2636;2642;2643;2648;2688;2698;2745;2770;2776;2778;2784
US Guam;162742;543;5;3.0723476423;0.0196078431;0.0222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;2;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
US Hawaii;1415872;16635;18;1.2713013606;0.0200222469;0.0220588235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;3;4;4;5;5;5;6;8;8;9;9;9;9;9;9;9;10;10;12;12;12;13;14;14;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18
US Idaho;1787065;214045;91;5.092148299;0.017108479;0.0213916314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;3;4;5;6;7;9;9;9;10;10;10;13;15;18;24;25;27;27;33;39;41;41;43;44;45;48;51;54;54;54;56;56;58;60;60;63;63;63;64;64;65;66;67;67;67;67;70;69;69;72;73;73;73;74;77;77;77;79;79;79;79;81;82;82;82;82;82;83;83;83;83;83;83;83;83;85;85;86;87;87;87;88;88;88;89;89;89;89;89;89;90;90;90;91;91
US Illinois;12671821;143793;7103;56.0535064376;0.0494934292;0.051165136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;5;6;9;12;16;19;26;34;47;65;73;99;141;157;210;243;274;307;380;462;528;596;677;720;794;868;948;1072;1134;1259;1290;1349;1468;1565;1688;1795;1874;1933;1983;2125;2215;2355;2457;2559;2618;2662;2838;2974;3111;3241;3349;3406;3459;3601;3792;3928;4058;4129;4177;4234;4379;4525;4607;4715;4790;4856;4884;4923;5083;5186;5270;5330;5390;5412;5525;5621;5736;5795;5864;5904;6102;6196;6273;6363;6441;6470;6489;6507;6579;6666;6718;6718;6829;6851;6875;6911;6974;7014;7048;7074;7089;7103
US Indiana;6732219;92789;2624;38.9767474885;0.0580171575;0.0612068764;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;2;2;2;2;4;6;7;12;14;17;24;31;32;35;49;65;78;102;116;127;139;173;203;245;300;330;343;350;388;436;477;519;545;562;569;630;661;706;741;785;813;844;901;1065;1114;1175;1229;1246;1264;1326;1377;1414;1447;1490;1508;1540;1578;1619;1646;1691;1741;1751;1765;1824;1864;1913;1941;1943;1976;1976;2004;2030;2068;2110;2125;2134;2142;2197;2207;2231;2258;2292;2303;2316;2339;2355;2380;2396;2413;2422;2433;2447;2475;2491;2516;2536;2540;2553;2569;2578;2586;2595;2616;2619;2624
US Iowa;3155070;144669;708;22.440072645;0.0245987075;0.0268456376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;4;6;7;9;11;11;14;22;25;26;27;29;31;34;41;43;49;53;60;64;74;75;79;83;90;96;107;112;118;127;136;148;162;170;175;184;188;207;219;231;243;252;265;271;289;306;318;336;346;351;355;372;388;406;425;444;454;459;478;491;504;522;531;534;551;561;574;580;592;598;604;612;624;630;639;643;650;652;655;669;673;679;681;681;685;686;688;692;695;704;704;705;708
US Kansas;2913314;211754;270;9.2677960563;0.0186941771;0.0212305878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;2;2;2;3;3;4;5;6;8;9;10;13;17;21;22;25;27;38;42;50;55;56;62;69;76;80;84;86;92;100;107;110;112;111;117;118;120;124;125;129;130;131;134;136;137;144;147;152;157;157;158;158;164;164;172;172;172;173;173;178;178;185;185;185;188;188;205;205;208;208;208;217;217;222;222;232;232;232;236;236;240;240;243;243;243;245;245;247;247;254;254;254;259;259;261;261;264;264;264;270
US Kentucky;4467673;102269;560;12.5344894311;0.0364892161;0.0396011597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;3;3;4;4;4;6;8;9;9;11;17;20;31;37;40;45;59;65;73;90;90;94;97;104;115;122;129;137;144;148;154;171;185;191;200;205;208;213;225;235;240;248;248;253;261;275;283;294;298;304;304;311;321;326;328;332;334;334;366;366;376;386;391;391;391;391;400;400;409;418;431;439;442;450;458;466;470;470;472;477;484;493;493;499;499;505;512;518;520;522;524;526;526;537;538;546;553;553;558;560
US Louisiana;4648794;111898;3199;68.8135460509;0.0560431667;0.062002132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;6;8;12;16;20;34;46;65;83;119;137;151;185;239;273;310;370;409;477;512;582;652;702;755;806;840;884;1013;1103;1156;1213;1267;1296;1328;1405;1473;1540;1601;1644;1670;1697;1758;1802;1862;1927;1950;1969;2064;2115;2115;2208;2227;2267;2286;2308;2347;2381;2417;2448;2479;2491;2563;2581;2608;2629;2668;2668;2690;2690;2701;2722;2740;2766;2785;2791;2801;2835;2870;2883;2912;2925;2936;2944;2957;2968;2987;2996;3004;3014;3018;3042;3062;3062;3084;3104;3105;3117;3134;3152;3164;3190;3190;3199;3199
US Maine;1344212;79883;105;7.8112678655;0.0326188257;0.0350701403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;5;7;7;9;10;10;10;12;14;16;17;19;19;19;20;24;27;29;32;34;35;36;39;44;47;50;50;51;51;52;53;55;56;57;57;61;62;62;63;64;64;65;65;66;69;69;70;70;71;73;73;73;75;77;78;78;79;81;84;85;89;89;89;94;95;95;98;98;99;99;100;100;100;100;100;100;101;101;102;102;102;102;102;102;102;103;103;103;104;104;105
US Maryland;6045680;25142;3175;52.5168384698;0.0472090879;0.0488408941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;2;3;3;4;4;5;5;7;10;17;24;35;43;52;64;84;101;122;138;160;191;221;255;298;335;384;421;469;499;541;582;626;683;732;779;831;899;948;1001;1045;1099;1168;1226;1276;1323;1372;1424;1476;1520;1580;1643;1692;1739;1788;1834;1881;1935;1991;2040;2090;2122;2164;2198;2221;2274;2306;2341;2379;2417;2458;2501;2538;2562;2596;2625;2646;2666;2668;2702;2740;2749;2776;2811;2844;2875;2900;2926;2939;2947;2982;2996;3016;3030;3052;3066;3074;3092;3108;3129;3142;3157;3168;3175
US Massachusetts;6892503;20202;8095;117.4464486994;0.0744244631;0.0753450795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;5;7;11;17;26;33;42;57;72;99;124;153;187;229;265;304;370;448;515;615;725;832;946;1056;1211;1329;1502;1667;1822;1983;2146;2303;2449;2597;2769;2877;2877;2899;3003;3153;3405;3562;3716;3846;4004;4090;4212;4420;4552;4702;4840;4979;5108;5141;5315;5482;5592;5705;5797;5862;5938;6066;6148;6228;6304;6372;6416;6473;6547;6640;6718;6768;6846;7035;7085;7152;7201;7235;7289;7316;7353;7408;7454;7492;7538;7576;7624;7647;7665;7734;7770;7800;7828;7858;7874;7890;7938;7963;8013;8041;8060;8095
US Michigan;9986857;146435;6161;61.6910805872;0.0877347877;0.0903412174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;10;13;23;36;57;86;111;159;212;283;351;437;551;676;801;918;1030;1150;1291;1449;1600;1756;1917;2081;2249;2391;2532;2672;2841;2984;3107;3236;3347;3471;3602;3711;3818;3929;4036;4148;4247;4335;4434;4520;4579;4641;4722;4781;4839;4925;4987;5036;5081;5139;5188;5232;5278;5325;5357;5396;5427;5470;5514;5555;5586;5612;5640;5678;5703;5727;5751;5778;5802;5818;5843;5869;5884;5901;5909;5916;5927;5942;5951;5952;5985;5990;6013;6016;6017;6034;6036;6061;6067;6087;6090;6097;6109;6114;6133;6134;6153;6158;6161
US Minnesota;5639632;206232;1470;26.0655305169;0.0409916065;0.0439212406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;4;5;9;10;12;17;18;22;24;29;30;34;39;50;57;64;70;70;79;87;94;111;121;134;143;160;179;200;221;244;272;286;301;319;343;371;395;419;428;455;485;508;534;558;578;591;614;638;663;692;709;731;740;757;786;818;851;861;878;890;908;942;977;1006;1036;1050;1060;1082;1097;1126;1159;1181;1197;1208;1228;1267;1280;1305;1314;1329;1335;1344;1357;1376;1393;1404;1412;1416;1425;1432;1441;1446;1452;1460;1470
US Mississippi;2976149;121531;1059;35.5828958832;0.0398614823;0.0462485807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;6;8;13;14;16;20;22;26;29;35;43;51;59;67;76;82;93;96;98;111;122;129;140;152;159;169;183;193;201;209;221;227;229;239;250;261;281;291;303;310;342;374;396;409;421;430;435;457;465;480;493;510;521;528;554;570;580;596;616;625;635;652;670;693;710;723;734;739;767;782;794;803;803;817;837;837;868;868;881;889;891;895;915;938;938;938;938;938;978;989;1011;1016;1022;1035;1039;1059
US Missouri;6137428;178040;998;16.2608832234;0.0474266977;0.0539299127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;1;1;3;3;3;3;8;8;8;10;10;13;14;18;19;19;24;34;39;53;58;77;96;109;110;114;133;147;152;165;175;176;177;189;208;218;262;273;274;288;314;318;329;337;351;352;358;377;396;418;449;472;482;488;524;542;562;576;589;594;605;616;631;661;671;676;681;685;686;696;707;738;771;772;773;783;786;786;799;809;809;819;840;848;860;872;879;879;880;882;909;946;948;955;956;961;961;975;982;990;996;997;998
US Montana;1068778;376962;22;2.0584256038;0.0239390642;0.0296096904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4;5;5;5;5;6;6;6;6;6;6;6;6;7;7;7;7;8;10;10;10;12;14;14;14;14;14;14;15;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;19;19;19;20;20;20;20;20;21;21;21;21;22;22;22;22
US Nebraska;1934408;198974;267;13.8026724455;0.0141277316;0.0148688534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;2;2;3;4;5;6;6;8;8;10;12;14;15;17;17;17;18;20;21;24;24;28;28;33;38;45;47;50;53;56;55;55;68;70;73;76;78;78;82;86;90;92;96;98;100;103;107;113;119;123;123;125;132;138;143;147;147;150;150;153;163;164;170;170;170;178;181;187;186;186;188;188;188;191;195;212;216;216;216;220;231;234;240;244;244;244;249;256;257;260;266;267;267
US Nevada;3080156;284332;504;16.3628075981;0.0281658657;0.0360077159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;1;2;3;3;5;7;8;13;13;17;21;25;28;32;37;45;51;59;70;76;79;91;101;110;120;125;128;133;141;150;158;162;168;172;180;193;201;210;216;229;235;245;251;257;269;277;281;287;292;297;311;320;328;334;339;344;350;355;358;368;369;375;383;390;393;397;400;404;408;410;412;416;425;435;439;444;445;452;455;460;460;463;465;469;472;474;475;475;478;479;483;485;486;489;491;491;492;492;492;494;495;498;500;500;504
US New Hampshire;1359711;23187;367;26.9910297115;0.0637152778;0.0660309464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;3;4;4;5;7;9;9;9;18;18;21;22;23;23;23;32;32;37;37;38;41;42;42;48;51;53;60;60;60;60;66;72;81;84;86;86;92;111;114;121;131;133;133;142;150;159;159;171;172;172;182;190;199;208;208;209;210;214;223;232;238;242;245;245;256;265;273;283;283;286;286;294;301;308;315;318;320;320;326;330;331;337;339;339;339;343;347;365;365;367;367
US New Jersey;8882190;19047;14992;168.7872022553;0.0875332804;0.0883264402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;3;5;9;11;16;20;27;44;62;81;108;140;161;198;267;355;537;646;846;917;1003;1232;1504;1700;1932;2183;2350;2443;2805;3156;3518;3840;4070;4202;4377;4753;5063;5368;5617;5863;5938;6044;6442;6770;7228;7538;7742;7871;7910;8244;8549;8801;8952;9116;9255;9310;9508;9702;9946;10138;10249;10356;10435;10586;10747;10843;10985;11081;11133;11144;11191;11339;11401;11531;11634;11698;11721;11770;11880;11970;12049;12106;12176;12214;12303;12377;12443;12489;12589;12625;12676;12727;12769;12800;12835;12857;12870;12895;12949;12995;14872;14914;14948;14975;14992
