country;WBK Y2016;WBK Y2017;WBK Y2018;WBK Y2019;WBK Y2020;WBK Y2021;IMF Y2018;IMF Y2019;IMF Y2020;IMF Y2021
Euro area;;;;;;;1.9;1.2;-7.5;4.7
Europe and Central Asia (ECA);1.9;4.1;3.1;1.6;2.7;2.9
Fiji;0.7;3;3.2;3.4;3.3;3.3;3.5;0.5;-5.8;7
Finland;;;;;;;1.6;1;-6;3.1
France;;;;;;;1.7;1.3;-7.2;4.5
Gabon;2.1;0.5;0.8;2.8;3.7;3.9;0.8;3.4;-1.2;3.6
Gambia The;0.4;4.6;6.6;5.4;5.2;5;6.5;6;2.5;6.5
Georgia;2.8;4.8;4.7;4.6;4.8;5;4.8;5.1;-4;3
Germany;;;;;;;1.5;0.6;-7;5.2
Ghana;3.4;8.1;6.3;7.6;7;5.8;6.3;6.1;1.5;5.9
Greece;;;;;;;1.9;1.9;-10;5.1
Grenada;3.7;5.1;5.2;3.9;3.7;3.7;4.1;3.1;-8;6.1
Guatemala;3.1;2.8;3.1;3.3;2.7;3;3.1;3.6;-2;5.5
Guinea;10.5;10.6;5.8;5.9;6;6;6.2;5.6;2.9;7.6
Guinea-Bissau;6.3;5.9;3.8;4.3;4.8;5.5;3.8;4.6;-1.5;3
Guyana;3.4;2.1;4.1;4.6;33.5;22.9;4.1;4.7;52.8;6.3
Haiti;1.5;1.2;1.5;0.4;1.6;1.3;1.5;-1.2;-4;1.2
Honduras;3.9;4.8;3.7;3.6;3.8;3.9;3.7;2.7;-2.4;4
Hong Kong SAR;;;;;;;2.9;-1.2;-4.8;3.9
Hungary;2.3;4.1;4.9;3.8;2.8;2.6;5.1;4.9;-3.1;4.2
Iceland;;;;;;;3.8;1.9;-7.2;6
India;8.2;7.2;7.2;7.5;7.5;7.5;6.1;4.2;1.9;7.4
Indonesia;5;5.1;5.2;5.2;5.3;5.3;5.2;5;0.5;8.2
Iran;13.4;3.8;-1.9;-4.5;0.9;1;-5.4;-7.6;-6;3.1
Iraq;13.6;-1.7;0.6;2.8;8.1;2.3;-0.6;3.9;-4.7;7.2
Ireland;;;;;;;8.3;5.5;-6.8;6.3
Israel;;;;;;;3.4;3.5;-6.3;5
Italy;;;;;;;0.8;0.3;-9.1;4.8
Jamaica;1.4;1;1.9;1.6;1.7;1.9;1.9;1;-5.6;3.5
Japan;0.6;1.9;0.8;0.8;0.7;0.6;0.3;0.7;-5.2;3
Jordan;2;2.1;2;2.2;2.4;2.6;1.9;2;-3.7;3.7
Kazakhstan;1.1;4.1;4.1;3.5;3.2;3.2;4.1;4.5;-2.5;4.1
Kenya;5.9;4.9;6.3;5.7;5.9;6;6.3;5.6;1;6.1
Kiribati;;;;;;;2.3;2.3;0;2.2
Korea;;;;;;;2.7;2;-1.2;3.4
Kosovo;4.1;4.2;4.2;4.4;4.5;4.5;3.8;4;-5;7.5
Kuwait;2.9;-3.5;1.2;1.6;3;2.9;1.2;0.7;-1.1;3.4
Kyrgyz Republic;4.3;4.7;3.5;4.3;4;4.1;3.5;4.5;-4;8
Lao P.D.R.;;;;;;;6.3;4.7;0.7;5.6
Lao PDR;7;6.9;6.5;6.6;6.7;6.6
Latin America and the Caribbean (LAC);-0.3;1.7;1.6;1.7;2.5;2.7
Latvia;;;;;;;4.3;2.2;-8.6;8.3
Lebanon;1.6;0.6;0.2;0.9;1.3;1.5;-1.9;-6.5;-12;0
Lesotho;3.1;-0.4;1.7;1.5;0.4;4.1;0.4;1.2;-5.2;5.1
Liberia;-1.6;2.5;1.2;0.4;1.6;1.3;1.2;-2.5;-2.5;4
Libya;;;;;;;17.9;9.9;-58.7;80.7
Lithuania;;;;;;;3.6;3.9;-8.1;8.2
Luxembourg;;;;;;;3.1;2.3;-4.9;4.8
Macao SAR;;;;;;;5.4;-4.7;-29.6;32
Madagascar;4.2;4.3;5.2;5.2;5.3;5.1;4.6;4.8;0.4;5
Malawi;2.5;4;3.5;4.5;4.7;5.1;3.2;4.5;1;2.5
Malaysia;4.2;5.9;4.7;4.6;4.6;4.6;4.7;4.3;-1.7;9
Maldives;7.3;6.9;7.9;5.7;5.2;5.3;6.9;5.7;-8.1;13.2
Mali;5.8;5.3;4.9;5;4.9;4.8;5.2;5.1;1.5;4.1
Malta;;;;;;;7.3;4.4;-2.8;7
Marshall Islands;;;;;;;3.6;2.4;-0.2;3.2
Mauritania;2;3;3.6;6.7;5.8;6;2.1;5.9;-2;4.2
Mauritius;3.8;3.8;3.8;3.9;3.9;3.5;3.8;3.5;-6.8;5.9
Mexico;2.9;2.1;2;1.7;2;2.4;2.1;-0.1;-6.6;3
Micronesia;;;;;;;0.2;1.2;-0.4;1.4
Middle East and North Africa (MNA);5.1;1.2;1.4;1.3;3.2;2.7
Moldova;4.4;4.7;4;3.4;3.6;3.8;4;3.6;-3;4.1
Mongolia;1.4;5.4;6.9;7.2;6.9;6.2;7.2;5.1;-1;8
Montenegro;2.9;4.7;4.9;2.9;2.4;2.3
Montenegro Rep. of;;;;;;;5.1;3.6;-9;6.5
Morocco;1.1;4.1;3;2.9;3.5;3.6;3;2.2;-3.7;4.8
Mozambique;3.8;3.7;3.3;2;3.5;4.2;3.4;2.2;2.2;4.7
Myanmar;5.9;6.8;6.2;6.5;6.6;6.8;6.4;6.5;1.8;7.5
Namibia;1.1;-0.9;-0.1;0.9;1.5;1.9;0.3;-1.4;-2.5;3.2
Nauru;;;;;;;5.7;1;-1.7;1.3
Nepal;0.6;8.2;6.7;7.1;6.4;6.5;6.7;7.1;2.5;5
Netherlands;;;;;;;2.6;1.8;-7.5;3
New Zealand;;;;;;;3.2;2.2;-7.2;5.9
Nicaragua;4.6;4.7;-3.8;-5;1.1;1.3;-4;-3.9;-6;0
Niger;4.9;4.9;5.2;6.5;6;5.6;7;5.8;1;8.1
Nigeria;-1.6;0.8;1.9;2.1;2.2;2.4;1.9;2.2;-3.4;2.4
North Macedonia;2.8;0.2;2.7;2.9;3.2;3.6;2.7;3.6;-4;7
Norway;;;;;;;1.3;1.2;-6.3;2.9
Oman;5;-0.9;2.1;1.2;6;2.8;1.8;0.5;-2.8;3
Pakistan;4.6;5.4;5.8;3.4;2.7;4;5.5;3.3;-1.5;2
Palau;;;;;;;5.2;0.5;-11.9;14.4
Panama;5;5.3;3.7;5;5.4;5.2;3.7;3;-2;4
Papua New Guinea;4.1;2.3;-0.3;5.6;3.1;3.5;-0.8;5;-1;2.9
Paraguay;4.3;5;3.6;3.3;4;4;3.7;0.2;-1;4
Peru;4;2.5;4;3.8;3.9;4;4;2.2;-4.5;5.2
Philippines;6.9;6.7;6.2;6.4;6.5;6.5;6.2;5.9;0.6;7.6
Poland;3.1;4.8;5.1;4;3.6;3.3;5.1;4.1;-4.6;4.2
Portugal;;;;;;;2.6;2.2;-8;5
Puerto Rico;;;;;;;-4.9;2;-6;1.5
Qatar;2.1;1.6;1.4;3;3.2;3.4;1.5;0.1;-4.3;5
Romania;4.8;7;4.1;3.6;3.3;3.1;4.4;4.1;-5;3.9
Russia;0.3;1.6;2.3;1.2;1.8;1.8;2.5;1.3;-5.5;3.5
Rwanda;6;6.1;8.6;7.8;8;7.5;8.6;10.1;3.5;6.7
Samoa;;;;;;;-2.2;3.5;-3.7;0.5
San Marino;;;;;;;1.7;1.1;-12.2;5.4
Saudi Arabia;1.7;-0.7;2.2;1.7;3.1;2.3;2.4;0.3;-2.3;2.9
Senegal;6.2;7.2;6.8;6.8;7;7;6.4;5.3;3;5.5
Serbia;3.3;2;4.3;3.5;4;4;4.4;4.2;-3;7.5
Seychelles;4.5;5.3;3.6;3.4;3;3.2;3.8;3.9;-10.8;8
Sierra Leone;6.4;3.8;3.7;5.4;5.4;5.2;3.5;5.1;-2.3;4
Singapore;;;;;;;3.4;0.7;-3.5;3
Slovak Republic;;;;;;;4;2.3;-6.2;5
Slovenia;;;;;;;4.1;2.4;-8;5.4
Solomon Islands;3.3;3;3.5;2.9;2.8;2.7;3.9;1.2;-2.1;3.8
Somalia;;;;;;;2.8;2.9;-2.5;2.9
South Africa;0.6;1.4;0.8;1.1;1.5;1.7;0.8;0.2;-5.8;4
South Asia (SAR);8.1;6.7;7;6.9;7;7.1
South Sudan;;;;;;;-1.1;11.3;4.9;3.2
Spain;;;;;;;2.4;2;-8;4.3
Sri Lanka;4.5;3.3;3.2;3.5;3.6;3.7;3.3;2.3;-0.5;4.2
St. Kitts and Nevis;;;;;;;2.9;2.9;-8.1;8.6
St. Lucia;3.9;3.7;1.5;3.4;3.5;2.4;2.6;1.7;-8.5;6.9
St. Vincent and the Grenadines;1.3;0.7;2;2.1;2.3;2.3;2.2;0.4;-4.5;5.4
Sub-Saharan Africa (SSA);1.3;2.6;2.5;2.9;3.3;3.5
Sudan;4.7;4.3;-2.3;-1.9;-1.3;-0.8;-2.3;-2.5;-7.2;-3
Suriname;-5.6;1.4;2;2;2.1;2.1;2.6;2.3;-4.9;4.9
Sweden;;;;;;;2.2;1.2;-6.8;5.2
Switzerland;;;;;;;2.7;0.9;-6;3.8
São Tomé and Príncipe;;;;;;;3;1.3;-6;5.5
Taiwan Province of China;;;;;;;2.7;2.7;-4;3.5
Tajikistan;6.9;7.1;7.3;6;6;6;7.3;7.5;1;5.5
Tanzania;6.9;6.8;6;5.4;5.7;6.1;7;6.3;2;4.6
Thailand;3.4;4;4.1;3.5;3.6;3.7;4.2;2.4;-6.7;6.1
Timor-Leste;5.1;-3.5;-0.7;3.9;4.6;5;-0.8;3.1;-3;3.8
Togo;5.2;4.3;4.9;5;5.2;5.1;4.9;5.3;1;4
Tonga;;;;;;;0.4;-0.1;-1.2;1.2
Trinidad and Tobago;-6.5;-1.9;0.7;0.9;1.5;2.1;-0.2;0;-4.5;2.6
Tunisia;1.1;2;2.5;2.7;3.2;3.5;2.7;1;-4.3;4.1
Turkey;3.2;7.4;2.6;-1;3;4;2.8;0.9;-5;5
Turkmenistan;6.2;6.5;6.2;5.6;5.1;4.9;6.2;6.3;1.8;6.4
Tuvalu;;;;;;;3.7;6;-1;3.5
Uganda;4.6;3.9;5.9;6.1;6.5;5.8;6.3;4.9;3.5;4.3
Ukraine;2.4;2.5;3.3;2.7;3.4;3.8;3.3;3.2;-7.7;3.6
United Arab Emirates;3;0.8;1.7;2.6;3;3.2;1.7;1.3;-3.5;3.3
United Kingdom;;;;;;;1.3;1.4;-6.5;4
United States;1.6;2.2;2.9;2.5;1.7;1.6;2.9;2.3;-5.9;4.7
Uruguay;1.7;2.6;1.6;1.5;2.3;2.5;1.6;0.2;-3;5
Uzbekistan;6.1;4.5;5.1;5.3;5.5;6;5.4;5.6;1.8;7
Vanuatu;;;;;;;2.8;2.9;-3.3;4.9
Venezuela;;;;;;;-19.6;-35;-15;-5
Vietnam;6.2;6.8;7.1;6.6;6.5;6.5;7.1;7;2.7;7
West Bank and Gaza;4.7;3.1;0.9;0.5;1;1.6
World;2.6;3.1;3;2.6;2.7;2.8;3.6;2.9;-3;5.8
Yemen;;;;;;;0.8;2.1;-3;6.1
Zambia;3.6;3.4;3.5;2.5;2.8;2.8;4;1.5;-3.5;2.3
Zimbabwe;0.8;4.7;3.5;-3.1;3.5;4.9;3.5;-8.3;-7.4;2.5
